icd10,disease_bn,disease_en,pathophysiology_bn,drug_class,tier,notes_bn,review_status,reviewed_by,source_ref
A09,ডায়রিয়া (বড়দের),Diarrhea (adult),অন্ত্র থেকে অতিরিক্ত পানি ও লবণ বেরিয়ে যাওয়া,ORS + Zinc,OTC,জিংক অন্ত্রের ওয়াটার চ্যানেল নিয়ন্ত্রণ করে ও ক্ষতিগ্রস্ত মিউকোসা পুনর্গঠন করে,draft,,
A09.1,শিশুর ডায়রিয়া,Diarrhea (child),শিশুর অন্ত্রে রোটাভাইরাস টক্সিন ও দ্রুত পানিশূন্যতা,ORS + Zinc syrup,OTC,বিপদচিহ্ন (অচেতন/পানি খেতে না পারা/রক্ত) থাকলে সরাসরি রেফার,draft,,
B82.0,কৃমি,Intestinal worms,অন্ত্রে পরজীবী কৃমির উপস্থিতি,Anthelmintic,OTC,টিউবুলিন ধ্বংস করে কৃমির গ্লুকোজ শোষণ বন্ধ করে,draft,,
R50.9,জ্বর (সাধারণ),Fever unspecified,সংক্রমণে প্রোস্টাগ্ল্যান্ডিন বেড়ে তাপমাত্রা নিয়ন্ত্রণ কেন্দ্র উত্তেজিত,Antipyretic,OTC,হাইপোথ্যালামাসে COX ব্লক করে জ্বর কমায়,draft,,
A90,ডেঙ্গু সন্দেহ,Suspected dengue,ভাইরাসজনিত প্লাটিলেট হ্রাস ও রক্তক্ষরণের ঝুঁকি,Antipyretic (Paracetamol only),REFER_ONLY,NSAID ও Aspirin সম্পূর্ণ নিষিদ্ধ — রক্তক্ষরণের ঝুঁকি,draft,,
J00,সাধারণ সর্দি-কাশি,Common cold,ভাইরাস সংক্রমণে হিস্টামিন নিঃসরণ,Antihistamine (H1 blocker),OTC,Antibiotic লাগে না — ভাইরাল,draft,,
J18.9,নিউমোনিয়া,Pneumonia,ফুসফুসের বায়ুথলিতে ব্যাকটেরিয়ার সংক্রমণ,Antibiotic,ANTIBIOTIC,50S রাইবোসোম ব্লক করে প্রোটিন সংশ্লেষ বন্ধ করে,draft,,
K30,গ্যাস্ট্রিক/অম্লতা,Gastric / dyspepsia,পাকস্থলীতে অতিরিক্ত অ্যাসিড নিঃসরণ,PPI / Antacid,OTC,H+/K+-ATPase পাম্প স্থায়ীভাবে বন্ধ করে,draft,,
N39.0,মূত্রনালীর সংক্রমণ,Urinary tract infection,মূত্রথলিতে ব্যাকটেরিয়ার সংক্রমণ,Antibiotic,ANTIBIOTIC,ব্যাকটেরিয়ার DNA RNA ও এনজাইম ভেঙে দেয়,draft,,
I10,উচ্চ রক্তচাপ,Hypertension,রক্তনালীর পেশী সংকোচনে চাপ বৃদ্ধি,CCB / ARB / Beta-blocker,PRESCRIPTION,ক্যালসিয়াম চ্যানেল বন্ধ করে রক্তনালী শিথিল করে,draft,,
E11.9,ডায়াবেটিস (টাইপ ২),Type 2 diabetes,লিভারে অতিরিক্ত গ্লুকোজ উৎপাদন ও ইনসুলিন রেজিস্ট্যান্স,Biguanide / Sulfonylurea / DPP-4,PRESCRIPTION,লিভারের গ্লুকোজ উৎপাদন কমায় ও ইনসুলিন সংবেদনশীলতা বাড়ায়,draft,,
B35.9,চর্মরোগ (ছত্রাক/দাদ),Fungal infection,ছত্রাকের কোষপ্রাচীরে আর্গোস্টেরল নির্ভরতা,Antifungal,OTC,আর্গোস্টেরল সংশ্লেষ বন্ধ করে কোষপ্রাচীর ফুটো করে,draft,,
B86,ঘা-পাঁচড়া,Scabies,ত্বকে স্ক্যাবিস মাইটের সংক্রমণ,Scabicide,OTC,মাইটের সোডিয়াম চ্যানেল খোলা রেখে প্যারালাইজ করে,draft,,
M13.9,বাতের ব্যথা,Arthritis pain,জয়েন্টে প্রদাহে COX-2 সক্রিয় হয়ে প্রোস্টাগ্ল্যান্ডিন তৈরি,NSAID (COX-2),OTC,উচ্চ রক্তচাপ কিডনি আলসার ও গর্ভাবস্থায় সতর্কতা,draft,,
H10.9,চোখ ওঠা,Conjunctivitis,কনজাংটিভায় ব্যাকটেরিয়ার সংক্রমণ,Topical antibiotic,ANTIBIOTIC,DNA gyrase লক করে ব্যাকটেরিয়ার রেপ্লিকেশন থামায়,draft,,
R07.9,বুকে ব্যথা,Chest pain,করোনারি রক্তনালীতে অক্সিজেন সরবরাহ হ্রাস,Nitrate / Antiplatelet,REFER_ONLY,⚠️ ফার্মেসিতে কখনো সুপারিশ নয় — সরাসরি হাসপাতাল,draft,,
Z34.9,গর্ভাবস্থা,Pregnancy,ভ্রূণের দ্রুত কোষ বিভাজনে বাড়তি পুষ্টির চাহিদা,Supplement,OTC,ফলিক এসিড নিউরাল টিউব ডিফেক্ট প্রতিরোধ করে,draft,,
K08.8,দাঁতে ব্যথা,Toothache / dental pain,দাঁতের ক্ষয় বা মাড়ির প্রদাহে স্নায়ু উদ্দীপনা,Analgesic,OTC,ফোলা বা জ্বর থাকলে দাঁতের ডাক্তারের কাছে পাঠাতে হবে,draft,,
