icd10,disease_bn,primary_symptoms_bn,distinguishing_note_bn,mechanism_bn,drug_class,why_this_drug_class_bn,key_molecules,review_status
A09,ডায়রিয়া (বড়দের),"পাতলা পায়খানা বারবার, পানির মতো পায়খানা, পেট মোচড়ানো","কৃমির সাথে গুলিয়ে যায় — কৃমিতে পায়খানা সাধারণত স্বাভাবিক আকৃতির, শুধু পায়ুপথে চুলকায়; ডায়রিয়ায় পায়খানার ধরনটাই বদলে যায় (পাতলা/পানির মতো)","অন্ত্রের কোষ থেকে অতিরিক্ত পানি ও লবণ বেরিয়ে যাওয়া, সাধারণত সংক্রমণ বা দূষিত খাবারের কারণে",ORS + Zinc,জিংক অন্ত্রের water channel নিয়ন্ত্রণ করে পানি-চুয়ানো কমায়; ORS হারানো পানি-লবণ পূরণ করে,"Zinc Sulfate, ORS (Sodium Chloride+Potassium Chloride+Glucose+Trisodium Citrate)",draft
A09.1,শিশুর ডায়রিয়া,"শিশুর পাতলা পায়খানা, দুধ/খাবার না খাওয়া, ঝিমিয়ে পড়া",বড়দের ডায়রিয়া থেকে আলাদা মূলত বয়স দিয়ে (৫ বছরের নিচে); কৃমি থেকে আলাদা কারণ কৃমিতে পায়খানার ধরন বদলায় না,"একই — পানি-লবণ হারানো, কিন্তু শিশুর শরীরে পানিশূন্যতা অনেক দ্রুত মারাত্মক হয়",ORS + Zinc syrup,"জিংক আণুবীক্ষণিক স্তরে অন্ত্রের প্রতিরোধ ক্ষমতা বাড়ায়, রোটাভাইরাস টক্সিন রক্তে ঢুকতে বাধা দেয়","Zinc Sulfate Syrup, ORS",draft
B82.0,কৃমি,"রাতে পায়ুপথে চুলকানি, পায়খানায় কৃমি দেখা যাওয়া, পেটে অস্পষ্ট ব্যথা","ডায়রিয়া থেকে আলাদা — পায়খানার ধরন স্বাভাবিক থাকে, শুধু চুলকানি ও ওজন-না-বাড়া প্রধান লক্ষণ","অন্ত্রে পরজীবী কৃমি বাস করে পুষ্টি শোষণ করে, স্ত্রী কৃমি রাতে ডিম পাড়তে পায়ুপথে আসে বলে রাতে চুলকায়",Anthelmintic,"কৃমির কোষের টিউবুলিন প্রোটিন ধ্বংস করে, কৃমি গ্লুকোজ শোষণ করতে না পেরে মারা যায়","Albendazole, Mebendazole",draft
R50.9,জ্বর (সাধারণ),"শুধু গা গরম/জ্বর, অন্য কোনো নির্দিষ্ট লক্ষণ নেই","⚠️ সবচেয়ে গুরুত্বপূর্ণ: এটা 'বাদ দিয়ে' নির্ণয় — চোখে ব্যথা/দাগ থাকলে ডেঙ্গু, কাশি-কফ থাকলে নিউমোনিয়া, নির্দিষ্ট কিছু না থাকলেই শুধু 'জ্বর'",সংক্রমণে শরীরে প্রোস্টাগ্ল্যান্ডিন বেড়ে মস্তিষ্কের তাপ-নিয়ন্ত্রণ কেন্দ্র উত্তেজিত হয়,Antipyretic,COX এনজাইম ব্লক করে প্রোস্টাগ্ল্যান্ডিন তৈরি বন্ধ করে,Paracetamol,draft
A90,ডেঙ্গু সন্দেহ,"চোখের পেছনে ব্যথা, গায়ে লাল দাগ/র‍্যাশ, তীব্র গা-হাড় ব্যথা, রক্তক্ষরণ",সাধারণ জ্বর থেকে আলাদা করার চাবি — এই চারটার যেকোনো একটা থাকলেই ডেঙ্গু সন্দেহ করতে হবে,"ভাইরাস প্লাটিলেট কমিয়ে দেয়, রক্তনালীর দেয়াল দুর্বল করে রক্তক্ষরণের ঝুঁকি বাড়ায়",Antipyretic (Paracetamol only),শুধু Paracetamol নিরাপদ কারণ এটা প্লাটিলেট/রক্ত পাতলা করে না; NSAID/Aspirin রক্তক্ষরণ বাড়ায়,Paracetamol (NSAID/Aspirin সম্পূর্ণ নিষিদ্ধ),draft
J00,সাধারণ সর্দি-কাশি,"হাঁচি, নাক দিয়ে পানি পড়া, নাক বন্ধ, গলা খুসখুস","নিউমোনিয়া থেকে আলাদা — বুকে/শ্বাসে কোনো সমস্যা নেই, শুধু নাক-গলার উপরের অংশে সীমাবদ্ধ",ভাইরাস সংক্রমণে হিস্টামিন নিঃসরণ হয়ে নাক-গলায় প্রদাহ তৈরি করে,Antihistamine (H1 blocker),H1 রিসেপ্টর ব্লক করে হিস্টামিনের প্রভাব আটকায়,"Cetirizine, Loratadine, Fexofenadine",draft
J18.9,নিউমোনিয়া,"কাশির সাথে কফ, শ্বাসকষ্ট, বুকে ব্যথা — তিনটা একসাথে",সাধারণ সর্দি-কাশি থেকে আলাদা — শ্বাসকষ্ট ও বুকে ব্যথা থাকাটাই key; জ্বর থেকে আলাদা — এখানে শ্বাসতন্ত্রের স্পষ্ট লক্ষণ আছে,ব্যাকটেরিয়া ফুসফুসের বায়ুথলিতে বংশবৃদ্ধি করে প্রদাহ ও তরল জমা করে,Antibiotic,50S রাইবোসোমে যুক্ত হয়ে ব্যাকটেরিয়ার প্রোটিন সংশ্লেষ বন্ধ করে,"Azithromycin, Amoxicillin, Ceftriaxone",draft
K30,গ্যাস্ট্রিক/অম্লতা,"খাওয়ার পর/খালি পেটে বুক জ্বালা, টক ঢেঁকুর, পেটের উপরিভাগে অস্বস্তি","বুকে ব্যথা (R07.9) থেকে আলাদা — এখানে ব্যথা খাওয়ার সাথে সম্পর্কিত, পরিশ্রমের সাথে না",পাকস্থলীর দেয়ালে H+/K+-ATPase পাম্প অতিরিক্ত অ্যাসিড তৈরি করে,PPI / Antacid,অ্যাসিড পাম্প স্থায়ীভাবে বন্ধ করে অ্যাসিড উৎপাদন কমায়,"Omeprazole, Esomeprazole, Pantoprazole",draft
N39.0,মূত্রনালীর সংক্রমণ,"প্রস্রাবে জ্বালাপোড়া, বারবার অল্প অল্প প্রস্রাব, তলপেটে চাপ",'প্রস্রাব' শব্দটাই এই রোগের সবচেয়ে নির্ভরযোগ্য চিহ্ন — অন্য কোনো রোগে এটা প্রধান লক্ষণ না,মূত্রথলিতে ব্যাকটেরিয়া সংক্রমণ প্রদাহ তৈরি করে,Antibiotic,ব্যাকটেরিয়ার কোষে ঢুকে DNA/RNA/এনজাইম ভেঙে দেয়,"Nitrofurantoin, Ciprofloxacin, Cefixime",draft
I10,উচ্চ রক্তচাপ,"মাথার পেছনে ভার/ব্যথা, মাথা ঘোরা, প্রেসার মেপে বেশি পাওয়া",মাথাব্যথার অন্য কারণ থেকে আলাদা — সাথে 'প্রেসার'/'মাথা ঘোরা' শব্দ ও দীর্ঘস্থায়ী ধরন,রক্তনালীর পেশী সংকুচিত হয়ে রক্তচাপ বাড়ে,CCB / ARB / Beta-blocker,ক্যালসিয়াম চ্যানেল বন্ধ করে রক্তনালী শিথিল করে,"Amlodipine, Losartan Potassium, Atenolol",draft
