icd10,disease_bn,sentence_no,symptom_en,source
A09,ডায়রিয়া (বড়দের),1,loose stools again and again,original_v1
A09,ডায়রিয়া (বড়দের),2,the stool is completely watery,original_v1
A09,ডায়রিয়া (বড়দের),3,"been to the toilet five or six times since morning, stomach is cramping",original_v1
A09,ডায়রিয়া (বড়দের),4,"upset stomach and feeling weak, mouth going dry",original_v1
A09,ডায়রিয়া (বড়দের),5,loose motions started after eating stale food,original_v1
A09,ডায়রিয়া (বড়দের),6,"bowels have been loose for two days, nothing stops it",original_v1
A09,ডায়রিয়া (বড়দের),7,loose stools with stomach cramps and gas,original_v1
A09,ডায়রিয়া (বড়দের),8,"stomach has given way, also feeling nauseous",original_v1
A09,ডায়রিয়া (বড়দের),9,stomach upset after eating outside food,original_v1
A09,ডায়রিয়া (বড়দের),10,"loose motions and feeling dizzy, cannot stand up",original_v1
A09,ডায়রিয়া (বড়দের),11,"having to run to the toilet, cannot hold the stool",original_v1
A09,ডায়রিয়া (বড়দের),12,bowels loose and feeling very thirsty,original_v1
A09,ডায়রিয়া (বড়দের),13,loose stools and stomach pain since last night,original_v1
A09,ডায়রিয়া (বড়দের),14,"stools turning loose, no appetite at all",original_v1
A09,ডায়রিয়া (বড়দের),15,"upset stomach for three days, body is wasting away",original_v1
A09.1,শিশুর ডায়রিয়া,1,the child is passing loose stools,original_v1
A09.1,শিশুর ডায়রিয়া,2,the baby's bowels are loose and he is refusing milk,original_v1
A09.1,শিশুর ডায়রিয়া,3,the boy's stool is watery and frequent,original_v1
A09.1,শিশুর ডায়রিয়া,4,the child has gone limp after the loose motions,original_v1
A09.1,শিশুর ডায়রিয়া,5,child has an upset stomach and is vomiting too,original_v1
A09.1,শিশুর ডায়রিয়া,6,the baby keeps crying and passing stool repeatedly,original_v1
A09.1,শিশুর ডায়রিয়া,7,small child with loose stools for two days,original_v1
A09.1,শিশুর ডায়রিয়া,8,"the child will not drink water, eyes look sunken",original_v1
A09.1,শিশুর ডায়রিয়া,9,the baby's stool is yellow and watery with a foul smell,original_v1
A09.1,শিশুর ডায়রিয়া,10,child has diarrhoea and is passing very little urine,original_v1
